group,name,count
build-dependencies,build-info-build,10
build-dependencies,tempfile,8
build-dependencies,prost-build,6
build-dependencies,bindgen,3
build-dependencies,tonic-build,3
build-dependencies,async-trait,2
build-dependencies,cc,2
build-dependencies,capnpc,1
build-dependencies,escargot,1
build-dependencies,rustversion,1
dependencies,serde,129
dependencies,slog,67
dependencies,candid,66
dependencies,tokio,65
dependencies,hex,58
dependencies,prost,57
dependencies,rand,57
dependencies,async-trait,41
dependencies,lazy_static,41
dependencies,prometheus,41
dependencies,serde_cbor,39
dependencies,serde_json,37
dependencies,serde_bytes,36
dependencies,clap,35
dependencies,tempfile,33
dependencies,futures,30
dependencies,url,30
dependencies,strum,29
dependencies,base64,27
dependencies,strum_macros,25
dependencies,nix,24
dependencies,rand_chacha,22
dependencies,tower,19
dependencies,anyhow,18
dependencies,libc,17
dependencies,prost-build,17
dependencies,thiserror,17
dependencies,hyper,16
dependencies,bytes,15
dependencies,maplit,14
dependencies,reqwest,14
dependencies,slog-async,14
dependencies,num-traits,13
dependencies,slog-term,13
dependencies,zeroize,13
dependencies,chrono,12
dependencies,simple_asn1,12
dependencies,build-info,11
dependencies,ic-cdk,11
dependencies,tonic,11
dependencies,askama,10
dependencies,bincode,10
dependencies,wabt,10
dependencies,crossbeam-channel,9
dependencies,mockall,9
dependencies,openssl,9
dependencies,regex,9
dependencies,ascii,8
dependencies,slog-scope,8
dependencies,bitcoin,7
dependencies,comparable,7
dependencies,ed25519-consensus,7
dependencies,http,7
dependencies,parking_lot,7
dependencies,threadpool,7
dependencies,byteorder,6
dependencies,humantime,6
dependencies,ic-agent,6
dependencies,ic-cdk-macros,6
dependencies,proptest,6
dependencies,byte-unit,5
dependencies,ciborium,5
dependencies,hyper-tls,5
dependencies,log,5
dependencies,scoped_threadpool,5
dependencies,tracing,5
dependencies,axum,4
dependencies,flate2,4
dependencies,futures-util,4
dependencies,garcon,4
dependencies,hex-literal,4
dependencies,itertools,4
dependencies,json5,4
dependencies,leb128,4
dependencies,opentelemetry,4
dependencies,opentelemetry-prometheus,4
dependencies,quote,4
dependencies,rayon,4
dependencies,sha2,4
dependencies,syn,4
dependencies,tokio-openssl,4
dependencies,tracing-subscriber,4
dependencies,wasmtime,4
dependencies,arrayvec,3
dependencies,assert_matches,3
dependencies,backoff,3
dependencies,bit-vec,3
dependencies,cargo_metadata,3
dependencies,derive_more,3
dependencies,erased-serde,3
dependencies,fs_extra,3
dependencies,log4rs,3
dependencies,num-integer,3
dependencies,rand_distr,3
dependencies,serde_yaml,3
dependencies,socket2,3
dependencies,subtle,3
dependencies,tar,3
dependencies,tiny_http,3
dependencies,wasmtime-environ,3
dependencies,wasmtime-runtime,3
dependencies,actix-rt,2
dependencies,async-stream,2
dependencies,base32,2
dependencies,crc32fast,2
dependencies,dashmap,2
dependencies,ecdsa-secp256k1,2
dependencies,escargot,2
dependencies,gflags,2
dependencies,gflags-derive,2
dependencies,ic-certified-map,2
dependencies,ic-stable-structures,2
dependencies,indoc,2
dependencies,libflate,2
dependencies,lmdb-rkv,2
dependencies,mersenne_twister,2
dependencies,num-bigint,2
dependencies,once_cell,2
dependencies,paste,2
dependencies,pprof,2
dependencies,proc-macro2,2
dependencies,protobuf,2
dependencies,rand_core,2
dependencies,rand_pcg,2
dependencies,rsa,2
dependencies,rust_decimal,2
dependencies,serde-bytes-repr,2
dependencies,serde_millis,2
dependencies,signal-hook,2
dependencies,slog-json,2
dependencies,slog_derive,2
dependencies,ssh2,2
dependencies,tokio-rustls,2
dependencies,walkdir,2
dependencies,wasmtime-interface-types,2
dependencies,x509-parser,2
dependencies,actix,1
dependencies,actix-web,1
dependencies,assert-json-diff,1
dependencies,async-recursion,1
dependencies,async-socks5,1
dependencies,atomic-counter,1
dependencies,avro-rs,1
dependencies,bech32,1
dependencies,bitcoincore-rpc,1
dependencies,bitflags,1
dependencies,bls12_381,1
dependencies,bson,1
dependencies,capnp,1
dependencies,chacha20poly1305,1
dependencies,colored,1
dependencies,console,1
dependencies,cranelift-entity,1
dependencies,cranelift-wasm,1
dependencies,criterion,1
dependencies,crossbeam,1
dependencies,crossbeam-utils,1
dependencies,csv,1
dependencies,curve25519-dalek,1
dependencies,cvt,1
dependencies,debug_stub_derive,1
dependencies,digest,1
dependencies,either,1
dependencies,enum_dispatch,1
dependencies,exec,1
dependencies,eyre,1
dependencies,features,1
dependencies,flatbuffers,1
dependencies,float-cmp,1
dependencies,futures-core,1
dependencies,glob,1
dependencies,hashlink,1
dependencies,httptest,1
dependencies,humantime-serde,1
dependencies,hyper-rustls,1
dependencies,hyper-socks2,1
dependencies,ic-identity-hsm,1
dependencies,indicatif,1
dependencies,integer-encoding,1
dependencies,intmap,1
dependencies,ipnet,1
dependencies,jemalloc-ctl,1
dependencies,jemallocator,1
dependencies,json-patch,1
dependencies,k256,1
dependencies,leaky-bucket,1
dependencies,libfuzzer-sys,1
dependencies,libsecp256k1,1
dependencies,linked-hash-map,1
dependencies,lmdb-rkv-sys,1
dependencies,lru,1
dependencies,mio,1
dependencies,native-tls,1
dependencies,net2,1
dependencies,nonblock,1
dependencies,notify,1
dependencies,num,1
dependencies,num-bigint-dig,1
dependencies,num-rational,1
dependencies,num_cpus,1
dependencies,openssh-keys,1
dependencies,ordered-float,1
dependencies,p256,1
dependencies,pairing,1
dependencies,parity-wasm,1
dependencies,parse_int,1
dependencies,pathdiff,1
dependencies,pem,1
dependencies,pico-args,1
dependencies,pretty-bytes,1
dependencies,prost-derive,1
dependencies,prost-types,1
dependencies,quickcheck,1
dependencies,retain_mut,1
dependencies,ring,1
dependencies,ripemd,1
dependencies,rmp-serde,1
dependencies,rocksdb,1
dependencies,rusqlite,1
dependencies,rust_decimal_macros,1
dependencies,rustls,1
dependencies,secp256k1,1
dependencies,semver,1
dependencies,serde_derive,1
dependencies,serde_repr,1
dependencies,serde_with,1
dependencies,sha3,1
dependencies,signal-hook-mio,1
dependencies,static_assertions,1
dependencies,tarpc,1
dependencies,tester,1
dependencies,thread_profiler,1
dependencies,thrift,1
dependencies,tokio-serde,1
dependencies,tokio-socks,1
dependencies,tokio-util,1
dependencies,toml,1
dependencies,tracing-appender,1
dependencies,try_from,1
dependencies,utils,1
dependencies,uuid,1
dependencies,wee_alloc,1
dependencies,which,1
dependencies,wsl,1
dependencies,yansi,1
dev-dependencies,tempfile,38
dev-dependencies,proptest,25
dev-dependencies,assert_matches,19
dev-dependencies,criterion,18
dev-dependencies,maplit,18
dev-dependencies,rand,15
dev-dependencies,bytes,11
dev-dependencies,proptest-derive,11
dev-dependencies,tokio,10
dev-dependencies,hex,9
dev-dependencies,mockall,9
dev-dependencies,lazy_static,8
dev-dependencies,pretty_assertions,8
dev-dependencies,serde_cbor,6
dev-dependencies,prost,5
dev-dependencies,slog-async,5
dev-dependencies,strum,5
dev-dependencies,wabt,5
dev-dependencies,wycheproof,5
dev-dependencies,candid,4
dev-dependencies,futures,4
dev-dependencies,leb128,4
dev-dependencies,openssl,4
dev-dependencies,rand_chacha,4
dev-dependencies,slog-term,4
dev-dependencies,serde_json,3
dev-dependencies,anyhow,2
dev-dependencies,assert_cmd,2
dev-dependencies,bitcoin,2
dev-dependencies,curve25519-dalek,2
dev-dependencies,itertools,2
dev-dependencies,libflate,2
dev-dependencies,num-traits,2
dev-dependencies,predicates,2
dev-dependencies,regex,2
dev-dependencies,reqwest,2
dev-dependencies,rusty-fork,2
dev-dependencies,serde,2
dev-dependencies,slog,2
dev-dependencies,slog-envlogger,2
dev-dependencies,tokio-test,2
dev-dependencies,tower-test,2
dev-dependencies,actix-rt,1
dev-dependencies,actix-web,1
dev-dependencies,assert_approx_eq,1
dev-dependencies,async-trait,1
dev-dependencies,base64,1
dev-dependencies,bip32,1
dev-dependencies,cddl,1
dev-dependencies,clap,1
dev-dependencies,csv,1
dev-dependencies,hex-literal,1
dev-dependencies,iai,1
dev-dependencies,ic-cdk,1
dev-dependencies,insta,1
dev-dependencies,json5,1
dev-dependencies,k256,1
dev-dependencies,libsecp256k1,1
dev-dependencies,nix,1
dev-dependencies,num-bigint,1
dev-dependencies,once_cell,1
dev-dependencies,rand_core,1
dev-dependencies,rsa,1
dev-dependencies,scoped_threadpool,1
dev-dependencies,serde_bytes,1
dev-dependencies,serial_test,1
dev-dependencies,strum_macros,1
dev-dependencies,test-strategy,1
dev-dependencies,tiny_http,1
dev-dependencies,url,1
dev-dependencies,uuid,1
dev-dependencies,wait-timeout,1
dev-dependencies,walrus,1
dev-dependencies,warp,1
dev-dependencies,yansi,1